rank,finalWorth,category,personName,age,country,city,source,selfMade,gender,lastName,firstName
1,211000,Fashion & Retail,Bernard Arnault & family,74,France,Paris,LVMH,FALSE,M,Arnault,Bernard
2,180000,Automotive,Elon Musk,51,United States,Austin,"Tesla, SpaceX",TRUE,M,Musk,Elon
3,114000,Technology,Jeff Bezos,59,United States,Medina,Amazon,TRUE,M,Bezos,Jeff
4,107000,Technology,Larry Ellison,78,United States,Lanai,Oracle,TRUE,M,Ellison,Larry
5,106000,Finance & Investments,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,TRUE,M,Buffett,Warren
6,104000,Technology,Bill Gates,67,United States,Medina,Microsoft,TRUE,M,Gates,Bill
7,94500,Media & Entertainment,Michael Bloomberg,81,United States,New York,Bloomberg LP,TRUE,M,Bloomberg,Michael
8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecom,TRUE,M,Slim Helu,Carlos
9,83400,Diversified,Mukesh Ambani,65,India,Mumbai,Diversified,FALSE,M,Ambani,Mukesh
10,80700,Technology,Steve Ballmer,67,United States,Hunts Point,Microsoft,TRUE,M,Ballmer,Steve
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,Paris,L'Oréal,FALSE,F,Bettencourt Meyers,Francoise
12,79200,Technology,Larry Page,50,United States,Palo Alto,Google,TRUE,M,Page,Larry
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,La Coruna,Zara,TRUE,M,Ortega,Amancio
14,76000,Technology,Sergey Brin,49,United States,Los Altos,Google,TRUE,M,Brin,Sergey
15,68000,Food & Beverage,Zhong Shanshan,68,China,Hangzhou,"Beverages, pharmaceuticals",TRUE,M,Zhong,Shanshan
16,64400,Technology,Mark Zuckerberg,38,United States,Palo Alto,Facebook,TRUE,M,Zuckerberg,Mark
17,59000,Diversified,Charles Koch & family,87,United States,Wichita,Koch Industries,FALSE,M,Koch,Charles
17,59000,Diversified,Julia Koch & family,60,United States,New York,Koch Industries,FALSE,F,Koch,Julia
19,58800,Fashion & Retail,Jim Walton,74,United States,Bentonville,Walmart,FALSE,M,Walton,Jim
20,57600,Fashion & Retail,Rob Walton & family,78,United States,Bentonville,Walmart,FALSE,M,Walton,Rob
21,56700,Fashion & Retail,Alice Walton,73,United States,Fort Worth,Walmart,FALSE,F,Walton,Alice
